canonical_name,varian_ejaan (|| separated),platform_terlihat,jumlah_deal,harga_min,harga_median,harga_modus,harga_max,durasi_bulan_terlihat,contoh_tanggal_closing_terakhir,usulan_standard_price (KOSONGKAN — diisi Sales Head),usulan_commission_rule (KOSONGKAN — diisi Sales Head),catatan
Shopee Video Affiliate 3 Affiliate 3 Video,Shopee Video Affiliate 3 Affiliate 3 Video,Shopee,2,6500000,6500000,6500000,6500000,1,2026-05-06,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Shopee Video Affiliate 1 Affiliate 3 Video
Live Affiliate 1 Affiliator 16 Jam Day,Live Affiliate 1 Affiliator 16 Jam Day,Shopee|TikTok,2,2600000,2762500,2600000,2925000,1,2025-10-03,,,"muncul di >1 platform: Shopee, TikTok ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Live Affiliate 3 Affiliator 16 Jam Night || Live Affiliate 1 Affiliator 30 Jam Day || Live Affiliate 1 Affiliator 30 Jam Night || Live Affiliate 3 Affiliator 16 Jam Day || Live Affiliate 3 Affiliator 30 Jam Night"
Meta Ads CPAS x Shopee Pro,Meta Ads CPAS x Shopee Pro,Shopee,2,37380000,39690000,37380000,42000000,6,2025-11-10,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Meta Ads CPAS x Shopee Premium || Meta Ads CPAS x Shopee Basic || Jasa Meta Ads CPAS x Shopee Premium || META Ads CPAS x Shopee || Meta CPAS x Shopee
Live Shopee 30 jam,Live Shopee 30 jam,Shopee,2,3000000,3000000,3000000,3000000,1,2025-11-28,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Live Shopee Basic 100 Jam || Jasa Live Shopee 50 Jam
Jasa Live Shopee Basic 100 Jam,Jasa Live Shopee Basic 100 Jam,Shopee|TikTok,2,16700000,16700000,16700000,16700000,1,2025-10-24,,,"muncul di >1 platform: Shopee, TikTok ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Live Shopee Basic || Live Shopee 30 jam || Jasa Live Shopee 50 Jam || Jasa Live Shopee Basic+"
Komitmen Fee Management Iklan GMV Max MEA free biaya jasa & Komisi 3%,Komitmen Fee Management Iklan GMV Max MEA free biaya jasa & Komisi 3%,TikTok,2,10000000,10000000,10000000,10000000,6,2025-12-11,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Fee Komitmen GMV Max MEA Free Biaya Jasa Free Komisi || Komitmen Fee Management Iklan GMV Max MEA free biaya jasa & Komisi 5%
Jasa Live Tiktok Basic,Jasa Live Tiktok Basic,TikTok,2,13800000,34900000,13800000,56000000,1,2026-01-28,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Live Tiktok 50 Jam || Jasa Live Shopee Basic || Jasa Live Tiktok Basic+ || Jasa Live Tiktok Premium
Jasa GMV Max Premium,Jasa GMV Max Premium,TikTok,2,47520000,50760000,47520000,54000000,6,2025-12-10,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa GMV Max Basic || GMV MAX Premium || GMV Max Mea Premium
Komitmen Fee Management Iklan GMV Max MEA free biaya jasa & Komisi 5%,Komitmen Fee Management Iklan GMV Max MEA free biaya jasa & Komisi 5%,TikTok,2,10000000,10000000,10000000,10000000,6,2025-12-12,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Fee Komitmen GMV Max MEA Free Biaya Jasa Free Komisi || Komitmen Fee Management Iklan GMV Max MEA free biaya jasa & Komisi 3%
Optimasi Rating 100x TikTok,Optimasi Rating 100x TikTok,TikTok,2,1500000,1500000,1500000,1500000,1,2025-12-16,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Optimasi Rating 100x || Optimasi Rating Shopee 100x || Jasa Optimasi Rating 100x || Optimasi rating 100x CO
Matchmaking Top Creator Tiktok Live Streaming 3 Affiliator 30 Jam Night,Matchmaking Top Creator Tiktok Live Streaming 3 Affiliator 30 Jam Night,TikTok,2,13150000,13150000,13150000,13150000,1,2025-12-18,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Matchmaking Creator Tiktok Live Streaming 1 Affiliator 16 Jam Night || Matchmaking Top Creator Tiktok Live Streaming 1 Affiliator 30 Jam Night || Matchmaking Top Creator Shopee Live Streaming 1 Affiliator 30 Jam Night || Matchmaking Top Creator Tiktok Live Streaming 15 Affiliator 60 Jam Night || Matchmaking Top Creator Shopee Live Streaming 3 Affiliator 60 Jam Night
Komitmen fee Paket Shopee Booster,Komitmen fee Paket Shopee Booster,Shopee,2,10000000,10000000,10000000,10000000,6,2026-01-31,,,
GMV Max MEA Intensive Premium,GMV Max MEA Intensive Premium,TikTok,2,33000000,34500000,33000000,36000000,3,2026-05-04,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): GMV MAX MEA || GMV MAX Premium || GMV Max Tiktok MEA Premium || GMV Max Mea Premium
Matchmaking Creator Shopee Live Streaming 1 Affiliator 16 Jam Day,Matchmaking Creator Shopee Live Streaming 1 Affiliator 16 Jam Day,Shopee,2,2600000,2600000,2600000,2600000,1,2026-04-07,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Matchmaking Creator Tiktok Live Streaming 1 Affiliator 16 Jam Night || Matchmaking Top Creator Shopee Live Streaming 1 Affiliator 30 Jam Night || Matchmaking Top Creator Shopee Live Streaming 3 Affiliator 60 Jam Night || Matchmaking Top Creator Shopee Live Streaming 1 Affiliator 16 Jam Day || Matchmaking Top Creator Shopee Live Streaming 3 Affiliator 30 Jam Night
Shopee Booster Basic,Shopee Booster Basic,Shopee,2,24000000,30000000,24000000,36000000,4|6,2026-05-19,,,
GMV Max Event Paket A,GMV Max Event Paket A,TikTok,2,2007132,8503566,2007132,15000000,6,2026-06-25,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): GMV Max Event Paket B
Shopee Booster Premium,Shopee Booster Premium,Shopee,2,34000000,34000000,34000000,34000000,3,2026-03-31,,,
Tiktok Growth Pro,Tiktok Growth Pro,TikTok,2,10000000,10000000,10000000,10000000,6,2026-05-21,,,
Meta Ads Pro,Meta Ads Pro,Meta,2,10350000,10350000,10350000,10350000,3,2025-05-24,,,
Add on Weekend Day – 8 Hours,Add on Weekend Day – 8 Hours,Shopee|TikTok,2,400000,400000,400000,400000,1,2025-12-10,,,"muncul di >1 platform: Shopee, TikTok ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Add on Weekend Night – 8 Hours"
Add on Weekday Night – 22 Hours,Add on Weekday Night – 22 Hours,Shopee|TikTok,2,1100000,1100000,1100000,1100000,1,2025-12-10,,,"muncul di >1 platform: Shopee, TikTok ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Add on Weekend Night – 8 Hours"
Add on Weekend Night – 8 Hours,Add on Weekend Night – 8 Hours,Shopee|TikTok,2,800000,800000,800000,800000,1,2025-12-10,,,"muncul di >1 platform: Shopee, TikTok ; MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Add on Weekday Night – 22 Hours || Add on Weekend Day – 8 Hours"
Jasa Iklan Awereness,Jasa Iklan Awereness,Shopee,1,2950000,2950000,2950000,2950000,1,2025-05-06,,,
Perpanjangan Jasa Iklan Traffic Consideration,Perpanjangan Jasa Iklan Traffic Consideration,Shopee,1,3400000,3400000,3400000,3400000,1,2025-05-02,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Iklan Consideration
Tiktok Ads GBS (Free Kelola ads Tiktok) topup saldo iklan,Tiktok Ads GBS (Free Kelola ads Tiktok) topup saldo iklan,TikTok,1,10000000,10000000,10000000,10000000,1,2025-05-23,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Tiktok Ads GBS (Free Kelola ads Tiktok)
Jasa Iklan Shopee,Jasa Iklan Shopee,Shopee,1,9400000,9400000,9400000,9400000,3,2025-05-09,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Iklan Shopee 10 SKU || Jasa Iklan Shopee Maksimal 10 SKU || Jasa Iklan Shopee 3 SKU || Jasa Iklan Shopee Basic
Live Affiliate 1 Affiliator 60 Jam Night,Live Affiliate 1 Affiliator 60 Jam Night,TikTok,1,4875000,4875000,4875000,4875000,1,2025-05-09,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Live Affiliate 1 Affiliator 16 Jam Day || Live Affiliate 3 Affiliator 16 Jam Night || Live Affiliate 1 Affiliator 30 Jam Day || Live Affiliate 1 Affiliator 30 Jam Night || Live Affiliate 3 Affiliator 30 Jam Night
Pengajuan Tiktok Mall,Pengajuan Tiktok Mall,TikTok,1,6000000,6000000,6000000,6000000,1,2025-05-14,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Tiktok Mall || Jasa Pengajuan Tiktok Mall
Free Jasa Tiktok Ads Komisi 10% dari Omset Toko,Free Jasa Tiktok Ads Komisi 10% dari Omset Toko,TikTok,1,5000000,5000000,5000000,5000000,1,2025-05-09,,,
Jasa Iklan Consideration,Jasa Iklan Consideration,Shopee,1,3400000,3400000,3400000,3400000,1,2025-05-02,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Perpanjangan Jasa Iklan Traffic Consideration
Endorsement Creator Premium,Endorsement Creator Premium,TikTok,1,9750000,9750000,9750000,9750000,1,2025-05-16,,,
Pengajuan Blue Tick,Pengajuan Blue Tick,TikTok,1,30000000,30000000,30000000,30000000,1,2025-05-19,,,
Matchmaking Top Creator Shopee Live Streaming 3 Affiliator 30 Jam Night,Matchmaking Top Creator Shopee Live Streaming 3 Affiliator 30 Jam Night,Shopee,1,10290000,10290000,10290000,10290000,1,2025-05-06,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Matchmaking Creator Tiktok Live Streaming 1 Affiliator 16 Jam Night || Matchmaking Top Creator Tiktok Live Streaming 1 Affiliator 30 Jam Night || Matchmaking Top Creator Shopee Live Streaming 1 Affiliator 30 Jam Night || Matchmaking Top Creator Tiktok Live Streaming 15 Affiliator 60 Jam Night || Matchmaking Top Creator Shopee Live Streaming 3 Affiliator 60 Jam Night
Jasa Launching Produk Basic,Jasa Launching Produk Basic,TikTok,1,4500000,4500000,4500000,4500000,1,2025-05-21,,,
Jasa Iklan Traffic Marketplace Performance,Jasa Iklan Traffic Marketplace Performance,Shopee,1,8800000,8800000,8800000,8800000,1,2025-05-22,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Iklan Traffic Marketplace Premium || Jasa iklan traffic Marketplace || Jasa Iklan Traffic Marketplace Basic
Jasa iklan traffic Marketplace,Jasa iklan traffic Marketplace,Shopee,1,10200000,10200000,10200000,10200000,3,2025-05-05,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Iklan Traffic Marketplace Premium || Jasa Iklan Traffic Marketplace Basic || Jasa Iklan Traffic Marketplace Performance
Jasa desain marketplace 50 SKU,Jasa desain marketplace 50 SKU,Shopee,1,3150000,3150000,3150000,3150000,1,2025-06-09,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Desain 50 SKU || Jasa Desain 25 SKU
Jasa optimasi rating,Jasa optimasi rating,TikTok,1,1500000,1500000,1500000,1500000,1,2025-06-13,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Optimasi Rating Toko Tiktok || Jasa Optimasi Rating 100x || Jasa Optimasi Rating 100x CO
Jasa Iklan Meta CPAS Paket Premium,Jasa Iklan Meta CPAS Paket Premium,Shopee,1,16500000,16500000,16500000,16500000,3,2025-06-16,,,
IG Yohan,IG Yohan,TikTok,1,1665000,1665000,1665000,1665000,1,2025-06-24,,,
Meta - Jasa Free Trial TikTok Shop | Yusi,Meta - Jasa Free Trial TikTok Shop | Yusi,TikTok,1,1500000,1500000,1500000,1500000,1,2025-06-29,,,
Meta Ads CPAS Premium,Meta Ads CPAS Premium,Shopee,1,6000000,6000000,6000000,6000000,6,2025-06-30,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Meta Ads Premium || Meta Ads CPAS x Shopee Premium || Meta Ads Premium+
Meta Ads Premium+,Meta Ads Premium+,Shopee,1,33000000,33000000,33000000,33000000,6,2025-07-02,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Meta Ads Premium || Meta Ads CPAS Premium || Tiktok Ads Premium+
Jasa Optimasi Rating Toko Tiktok,Jasa Optimasi Rating Toko Tiktok,TikTok Shop,1,1500000,1500000,1500000,1500000,1,2025-07-08,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa optimasi rating
Live Affiliate 1 Affiliator 30 Jam Day,Live Affiliate 1 Affiliator 30 Jam Day,TikTok,1,1930500,1930500,1930500,1930500,1,2025-07-14,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Live Affiliate 1 Affiliator 16 Jam Day || Live Affiliate 3 Affiliator 16 Jam Night || Live Affiliate 1 Affiliator 30 Jam Night || Live Affiliate 3 Affiliator 16 Jam Day || Live Affiliate 3 Affiliator 30 Jam Night
Jasa Live Shopee 50 Jam,Jasa Live Shopee 50 Jam,Shopee,1,8350000,8350000,8350000,8350000,1,2025-07-30,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Live Tiktok 50 Jam || Jasa Live Shopee Basic || Jasa Live Shopee Basic 100 Jam || Live Shopee 30 jam
Konten Feed & Reels IG Pro,Konten Feed & Reels IG Pro,Meta,1,10999000,10999000,10999000,10999000,1,2025-07-30,,,
Live Affiliate 3 Affiliator 30 Jam Day,Live Affiliate 3 Affiliator 30 Jam Day,Shopee,1,7150000,7150000,7150000,7150000,1,2025-08-13,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Live Affiliate 1 Affiliator 16 Jam Day || Live Affiliate 3 Affiliator 16 Jam Night || Live Affiliate 1 Affiliator 30 Jam Day || Live Affiliate 1 Affiliator 30 Jam Night || Live Affiliate 3 Affiliator 30 Jam Night
Jasa Optimasi Rating 100x CO Shopee,Jasa Optimasi Rating 100x CO Shopee,Shopee,1,1300000,1300000,1300000,1300000,1,2025-08-18,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Optimasi Rating 100x CO || Optimasi Rating Shopee 100x || Jasa Optimasi Rating 100x || Optimasi rating 100x CO
GMV MAX Premium,GMV MAX Premium,TikTok Shop,1,27000000,27000000,27000000,27000000,6,2025-08-18,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): GMV Max Tiktok MEA Premium || Jasa GMV Max Premium || GMV Max MEA Intensive Premium || GMV Max Mea Premium
GMV Max Tiktok MEA Premium,GMV Max Tiktok MEA Premium,TikTok Shop,1,27000000,27000000,27000000,27000000,6,2025-09-22,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): GMV MAX MEA || GMV MAX Premium || GMV Max MEA Intensive Premium || GMV Max Mea Premium
Jasa Live Shopee Basic+,Jasa Live Shopee Basic+,Shopee,1,8350000,8350000,8350000,8350000,1,2025-08-25,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Live Shopee Basic || Jasa Live Shopee Basic 100 Jam || Jasa Live Tiktok Basic+
Jasa Live Streaming 30 Jam Malam,Jasa Live Streaming 30 Jam Malam,TikTok,1,4000000,4000000,4000000,4000000,1,2025-08-28,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa live Streaming
Jasa Konten Feed Pro,Jasa Konten Feed Pro,Meta,1,4499000,4499000,4499000,4499000,1,2025-08-31,,,
Matchmaking Top Creator Tiktok Live Streaming 15 Affiliator 60 Jam Night,Matchmaking Top Creator Tiktok Live Streaming 15 Affiliator 60 Jam Night,TikTok,1,90000000,90000000,90000000,90000000,1,2025-09-09,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Matchmaking Creator Tiktok Live Streaming 1 Affiliator 16 Jam Night || Matchmaking Top Creator Tiktok Live Streaming 1 Affiliator 30 Jam Night || Matchmaking Top Creator Shopee Live Streaming 1 Affiliator 30 Jam Night || Matchmaking Top Creator Shopee Live Streaming 3 Affiliator 60 Jam Night || Matchmaking Top Creator Shopee Live Streaming 1 Affiliator 16 Jam Day
Jasa Foto Katalog dan Model,Jasa Foto Katalog dan Model,Shopee,1,2410000,2410000,2410000,2410000,1,2025-09-13,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Foto Katalog
Matchmaking Top Creator Tiktok Live Streaming 3 Affiliator 60 Jam Night,Matchmaking Top Creator Tiktok Live Streaming 3 Affiliator 60 Jam Night,TikTok,1,22620000,22620000,22620000,22620000,1,2025-10-09,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Matchmaking Creator Tiktok Live Streaming 1 Affiliator 16 Jam Night || Matchmaking Top Creator Tiktok Live Streaming 1 Affiliator 30 Jam Night || Matchmaking Top Creator Shopee Live Streaming 1 Affiliator 30 Jam Night || Matchmaking Top Creator Tiktok Live Streaming 15 Affiliator 60 Jam Night || Matchmaking Top Creator Shopee Live Streaming 3 Affiliator 60 Jam Night
Jasa Live Streaming 60 Jam Night Ekonomis,Jasa Live Streaming 60 Jam Night Ekonomis,TikTok,1,8000000,8000000,8000000,8000000,1,2025-10-08,,,
Perpanjangan,Perpanjangan,TikTok,1,8100000,8100000,8100000,8100000,3,2025-10-20,,,
Jasa Trending Video Premium+,Jasa Trending Video Premium+,TikTok,1,19000000,19000000,19000000,19000000,1,2025-10-22,,,
Jasa Buka Toko Online Shopee,Jasa Buka Toko Online Shopee,Shopee,1,6000000,6000000,6000000,6000000,1,2025-11-05,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Buka Tooko Online Premium || Jasa Buka Toko Online Basic || Jasa Buka Toko Online Pro
Optimasi Rating Shopee 50x,Optimasi Rating Shopee 50x,Shopee,1,750000,750000,750000,750000,1,2025-11-08,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Optimasi Rating Shopee 100x || Optimasi Rating Shopee || Optimasi Rating 50x
Jasa Personal Branding,Jasa Personal Branding,Meta,1,6900000,6900000,6900000,6900000,1,2025-11-12,,,
Fee Komitmen GMV Max MEA Free Biaya Jasa Free Komisi,Fee Komitmen GMV Max MEA Free Biaya Jasa Free Komisi,TikTok,1,10000000,10000000,10000000,10000000,6,2025-11-13,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Komitmen Fee Management Iklan GMV Max MEA free biaya jasa & Komisi 5% || Komitmen Fee Management Iklan GMV Max MEA free biaya jasa & Komisi 3% || Komitmen Fee GMV Max Tiktok Free Jasa Plus Komisi 5%
Komitmen Fee GMV MAX Advertising Management,Komitmen Fee GMV MAX Advertising Management,TikTok,1,10000000,10000000,10000000,10000000,6,2025-11-17,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): GMV MAX Advertising Management
Paket Hemat Tiktok Ads 1 Bulan (Komisi 5%),Paket Hemat Tiktok Ads 1 Bulan (Komisi 5%),TikTok,1,5000000,5000000,5000000,5000000,1,2025-11-20,,,
Traffic Tiktok Awareness 360 Basic,Traffic Tiktok Awareness 360 Basic,TikTok,1,15000000,15000000,15000000,15000000,1,2025-12-11,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Traffic Tiktok Shop Awareness Basic 360 || Traffic Tiktok Awareness 360 Premium
Jasa GMV Max Basic,Jasa GMV Max Basic,TikTok,1,26400000,26400000,26400000,26400000,6,2025-12-10,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): GMV Max Basic || Jasa GMV Max Premium || GMV Max Mea Basic
Jasa Optimasi Rating 100x,Jasa Optimasi Rating 100x,Shopee,1,1300000,1300000,1300000,1300000,1,2025-12-12,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Optimasi Rating 100x TikTok || Jasa optimasi rating || Optimasi Rating 100x || Optimasi Rating Shopee 100x || Jasa Optimasi Rating 100x CO
Matchmaking Top Creator Tiktok Live Streaming 1 Affiliator 30 Jam Night,Matchmaking Top Creator Tiktok Live Streaming 1 Affiliator 30 Jam Night,TikTok,1,4810000,4810000,4810000,4810000,1,2025-12-18,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Matchmaking Creator Tiktok Live Streaming 1 Affiliator 16 Jam Night || Matchmaking Top Creator Shopee Live Streaming 1 Affiliator 30 Jam Night || Matchmaking Top Creator Tiktok Live Streaming 15 Affiliator 60 Jam Night || Matchmaking Top Creator Shopee Live Streaming 3 Affiliator 60 Jam Night || Matchmaking Top Creator Shopee Live Streaming 1 Affiliator 16 Jam Day
Traffic Tiktok Awareness 360 Premium,Traffic Tiktok Awareness 360 Premium,TikTok,1,18920000,18920000,18920000,18920000,1,2025-12-10,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Traffic Tiktok Shop Awareness Premium+ 360 || Traffic Tiktok Awareness 360 Basic || Traffic Tiktok Shop Awareness Premium 360
Optimasi Rating Shopee,Optimasi Rating Shopee,Shopee,1,1300000,1300000,1300000,1300000,1,2025-12-30,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Optimasi Rating Shopee 100x || Optimasi Rating Shopee 50x
Komitmen Fee GMV Max Mea Paket B,Komitmen Fee GMV Max Mea Paket B,TikTok,1,10000000,10000000,10000000,10000000,6,2026-02-03,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Komitmen fee Paket GMV Max Mea Paket B
Jasa Traffic SEO Awareness,Jasa Traffic SEO Awareness,Google,1,9500000,9500000,9500000,9500000,1,2026-01-31,,,
Matchmaking Top Creator Shopee Live Streaming 3 Affiliator 60 Jam Night,Matchmaking Top Creator Shopee Live Streaming 3 Affiliator 60 Jam Night,TikTok,1,22620000,22620000,22620000,22620000,1,2026-03-10,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Matchmaking Creator Tiktok Live Streaming 1 Affiliator 16 Jam Night || Matchmaking Top Creator Tiktok Live Streaming 1 Affiliator 30 Jam Night || Matchmaking Top Creator Shopee Live Streaming 1 Affiliator 30 Jam Night || Matchmaking Top Creator Tiktok Live Streaming 15 Affiliator 60 Jam Night || Matchmaking Top Creator Shopee Live Streaming 1 Affiliator 16 Jam Day
Jasa MEAGO Basic,Jasa MEAGO Basic,TikTok,1,30000000,30000000,30000000,30000000,2,2026-02-13,,,
Matchmaking Creator Tiktok Live Streaming 3 Affiliator 16 Jam Day,Matchmaking Creator Tiktok Live Streaming 3 Affiliator 16 Jam Day,TikTok,1,7150000,7150000,7150000,7150000,1,2026-02-13,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Matchmaking Creator Tiktok Live Streaming 1 Affiliator 16 Jam Night || Matchmaking Top Creator Tiktok Live Streaming 1 Affiliator 30 Jam Night || Matchmaking Top Creator Shopee Live Streaming 1 Affiliator 16 Jam Day || Matchmaking Creator Tiktok  Live Streaming 3 Affiliator 30 Jam Night || Matchmaking Top Creator Tiktok Live Streaming 3 Affiliator 60 Jam Night
Live Streaming Basic,Live Streaming Basic,Shopee,1,3000000,3000000,3000000,3000000,1,2026-02-26,,,
Jasa live Streaming,Jasa live Streaming,Shopee,1,3000000,3000000,3000000,3000000,30,2026-04-27,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Jasa Live Streaming Reguler || Jasa Live Streaming 30 Jam Malam
Matchmaking Creator Tiktok Live Streaming 1 Affiliator 16 Jam Night,Matchmaking Creator Tiktok Live Streaming 1 Affiliator 16 Jam Night,TikTok,1,2925000,2925000,2925000,2925000,1,2026-05-06,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Matchmaking Top Creator Tiktok Live Streaming 1 Affiliator 30 Jam Night || Matchmaking Top Creator Shopee Live Streaming 1 Affiliator 30 Jam Night || Matchmaking Top Creator Tiktok Live Streaming 15 Affiliator 60 Jam Night || Matchmaking Top Creator Shopee Live Streaming 3 Affiliator 60 Jam Night || Matchmaking Top Creator Shopee Live Streaming 3 Affiliator 30 Jam Night
6 affliator 16 jam night,6 affliator 16 jam night,Shopee,1,15600000,15600000,15600000,15600000,2,2026-05-26,,,
Store Management,Store Management,TikTok,1,36000000,36000000,36000000,36000000,6,2026-06-11,,,
MEAGO Video,MEAGO Video,TikTok,1,15000000,15000000,15000000,15000000,2,2026-06-18,,,
Massive Video Affiliate Premium+,Massive Video Affiliate Premium+,TikTok,1,100000000,100000000,100000000,100000000,6,2026-06-22,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Massive Video Affiliate
Matchmaking Top Creator Shopee Live Streaming 1 Affiliator 30 Jam Night,Matchmaking Top Creator Shopee Live Streaming 1 Affiliator 30 Jam Night,Shopee,1,4810000,4810000,4810000,4810000,1,2025-06-19,,,MIRIP TAPI TIDAK DIGABUNG (perlu konfirmasi Sales Head apakah sebenarnya layanan sama): Matchmaking Creator Tiktok Live Streaming 1 Affiliator 16 Jam Night || Matchmaking Top Creator Tiktok Live Streaming 1 Affiliator 30 Jam Night || Matchmaking Top Creator Tiktok Live Streaming 15 Affiliator 60 Jam Night || Matchmaking Top Creator Shopee Live Streaming 3 Affiliator 60 Jam Night || Matchmaking Top Creator Shopee Live Streaming 1 Affiliator 16 Jam Day
